ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P147,P203,P204_NOM,P204_COD,P204_TIPO,P218A,P218B,P218C_NRO,P218C_PROD_CORTE_ENT,P218C_PROD_CORTE_DEC,OMICAP200_05
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,03,03,1,3,250391005,10.56679,1,,1,1,1,1,PASTO BRIZANTA,1408,3,2,3,2,190,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,03,03,1,3,250391005,10.56679,1,,1,1,1,1,PASTO BRIZANTA,1408,3,2,3,1,205,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,04,04,1,3,250391005,4.254574,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,3,95,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,04,04,1,3,250391005,4.254574,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,1,105,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,04,04,1,3,250391005,4.254574,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,2,100,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,05,05,1,3,250391005,4.214172,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,1,380,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,05,05,1,3,250391005,4.214172,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,3,310,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,05,05,1,3,250391005,4.214172,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,2,150,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,01,01,1,3,250391004,.094992,1,,1,1,1,2,PASTO BRIZANTA,1408,3,2,3,1,37,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,01,01,1,3,250391004,.094992,1,,1,1,1,2,PASTO BRIZANTA,1408,3,2,3,3,30,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,01,01,1,3,250391004,.094992,1,,1,1,1,2,PASTO BRIZANTA,1408,3,2,3,2,30,500, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,01,01,1,3,250391004,.094992,1,,1,1,2,2,PASTO BRIZANTA,1408,3,2,3,1,30,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,01,01,1,3,250391004,.094992,1,,1,1,2,2,PASTO BRIZANTA,1408,3,2,3,3,24,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,01,01,1,3,250391004,.094992,1,,1,1,2,2,PASTO BRIZANTA,1408,3,2,3,2,24,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,04,04,1,3,250391004,2.877765,1,,1,1,1,1,PASTO BRIZANTA,1408,3,2,3,3,35,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,04,04,1,3,250391004,2.877765,1,,1,1,1,1,PASTO BRIZANTA,1408,3,2,3,2,36,500, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,04,04,1,3,250391004,2.877765,1,,1,1,1,1,PASTO BRIZANTA,1408,3,2,3,1,39,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,04,04,1,3,250391004,2.877765,1,,1,1,2,1,PASTO BRIZANTA,1408,3,2,3,3,8,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,04,04,1,3,250391004,2.877765,1,,1,1,2,1,PASTO BRIZANTA,1408,3,2,3,1,10,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,04,04,1,3,250391004,2.877765,1,,1,1,2,1,PASTO BRIZANTA,1408,3,2,3,2,8,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,04,04,1,3,250391004,2.877765,1,,1,1,4,2,PASTO BRIZANTA,1408,3,2,3,3,60,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,04,04,1,3,250391004,2.877765,1,,1,1,4,2,PASTO BRIZANTA,1408,3,2,3,2,60,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,04,04,1,3,250391004,2.877765,1,,1,1,4,2,PASTO BRIZANTA,1408,3,2,3,1,75,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,05,05,1,3,250391004,.8111839,1,,1,1,2,2,PASTO BRIZANTA,1408,3,2,3,3,44,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,05,05,1,3,250391004,.8111839,1,,1,1,2,2,PASTO BRIZANTA,1408,3,2,3,2,44,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,05,05,1,3,250391004,.8111839,1,,1,1,2,2,PASTO BRIZANTA,1408,3,2,3,1,48,500, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10008,02,02,1,3,250393005,55.80513,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,1,150,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10008,02,02,1,3,250393005,55.80513,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,2,130,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10008,02,02,1,3,250393005,55.80513,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,3,150,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10008,02,02,1,3,250393005,55.80513,1,,1,1,2,1,PASTO BRAQUIARIA,1407,3,2,3,2,75,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10008,02,02,1,3,250393005,55.80513,1,,1,1,2,1,PASTO BRAQUIARIA,1407,3,2,3,1,80,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10008,02,02,1,3,250393005,55.80513,1,,1,1,2,1,PASTO BRAQUIARIA,1407,3,2,3,3,45,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10010,01,01,1,3,250393002,1.305981,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,2,2,50,000, 
