"model","term","estimate","std_error","z_value","p_value","odds_ratio"
"main","diversificacion_area",1.74408757380834,0.373847943229704,4.66523249731167,3.18440626049445e-06,5.72067939568774
"main","diversificacion_area:size_catmediano_2_5ha",0.175462839689309,0.473655937131831,0.370443661599185,0.711071744340829,1.19179770025556
"main","diversificacion_area:size_catpequeno_<2ha",0.144344900118387,0.60151165137622,0.239970247938066,0.810365732568782,1.15528249688882
"controls_ena","diversificacion_area",1.63278353631048,0.394452664375639,4.13936495750367,3.55521853050142e-05,5.11810133009909
"controls_ena","diversificacion_area:size_catmediano_2_5ha",0.320077135704126,0.510471678011367,0.627022319731906,0.53068077935383,1.37723399415273
"controls_ena","diversificacion_area:size_catpequeno_<2ha",0.166380884603444,0.624019868313847,0.266627543531616,0.789769839358154,1.18102284948652
"temp_topo","diversificacion_area",1.60216521475246,0.44460885012515,3.60353873815486,0.000317780600477106,4.96376842194565
"temp_topo","diversificacion_area:size_catmediano_2_5ha",0.335992565294605,0.548072122443304,0.613044436189804,0.539882226159755,1.39932862117621
"temp_topo","diversificacion_area:size_catpequeno_<2ha",0.140489489274729,0.59115655753029,0.237651917220813,0.812163395934973,1.15083698336991
"controls_temp_topo","diversificacion_area",1.39433814522933,0.436590953382738,3.1936945427428,0.00141569399451348,4.03230488903064
"controls_temp_topo","diversificacion_area:size_catmediano_2_5ha",0.49641490049482,0.552921636338853,0.897803355610769,0.369345155841912,1.6428210236943
"controls_temp_topo","diversificacion_area:size_catpequeno_<2ha",0.259177924736524,0.594654904068874,0.435845938481498,0.662972345977428,1.2958643506407
