"model","term","estimate","std_error","z_value","p_value","odds_ratio"
"main","diversificacion_area",1.74408757380834,0.373847943229704,4.66523249731167,3.18440626049445e-06,5.72067939568774
"main","diversificacion_area:size_catmediano_2_5ha",0.175462839689309,0.473655937131831,0.370443661599185,0.711071744340829,1.19179770025556
"main","diversificacion_area:size_catpequeno_<2ha",0.144344900118387,0.60151165137622,0.239970247938066,0.810365732568782,1.15528249688882
"main_geo","diversificacion_area",1.76748114620858,0.400593035837544,4.41216144088277,1.05064915522383e-05,5.85608414868686
"main_geo","diversificacion_area:size_catmediano_2_5ha",0.122925154481371,0.507153736731907,0.242382428794669,0.808496393812896,1.13079978248394
"main_geo","diversificacion_area:size_catpequeno_<2ha",0.00160827102957095,0.634527464360969,0.00253459640425594,0.997977814429819,1.00160956499101
