"model","term","estimate","std_error","z_value","p_value","odds_ratio"
"main_geo","(Intercept)",1.43096128636928,0.54823641816214,2.61011716654343,0.00908519450022022,4.18271804982496
"main_geo","diversificacion_area",1.76748114620858,0.400593035837544,4.41216144088277,1.05064915522383e-05,5.85608414868686
"main_geo","size_catmediano_2_5ha",0.388260501198833,0.384301156734101,1.01030271284734,0.31241197670779,1.47441382083288
"main_geo","size_catpequeno_<2ha",0.948262187130695,0.514490724152711,1.84310842278515,0.0653878327930229,2.58122008194614
"main_geo","log_area",0.344656652124973,0.196903816557305,1.75038076026661,0.0801300323584208,1.41150519914782
"main_geo","region_natural2",0.0572899244213363,0.26680259796842,0.214727760739861,0.829990628510186,1.0589627850663
"main_geo","region_natural3",-2.5010267471145,0.228162562859063,-10.9615999915788,1.44916876828009e-27,0.082000761341012
"main_geo","prcp_total_z",0.866403233960552,0.105013077160523,8.25043182608739,2.12512269964121e-16,2.3783411145389
"main_geo","diversificacion_area:size_catmediano_2_5ha",0.122925154481371,0.507153736731907,0.242382428794669,0.808496393812896,1.13079978248394
"main_geo","diversificacion_area:size_catpequeno_<2ha",0.00160827102957095,0.634527464360969,0.00253459640425594,0.997977814429819,1.00160956499101
