"model","term","estimate","std_error","z_value","p_value","component","inference_note","n_total","n_valid","share_dropped","gamma","gamma_near_boundary","cov_singular","cov_rank","cov_cond","cov_rcond","input_cost_var","ineffDecrease","truncNorm","timeEffect"
"controls_ena","(Intercept)",8.88961932454318,0.050245162330496,176.92488017195,0,"frontier","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","log_land",0.901922844343236,0.00586194343230593,153.860721236685,0,"frontier","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","log_labor",0.223163234279279,0.00758872379018263,29.4072152906632,0,"frontier","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","log_inputs",-0.0119309051526211,0.00677707730258725,-1.7604794249678,0.0783265530546895,"frontier","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","log_irrigation_cost",0.0725440320311459,0.00265347132915362,27.3392937146547,0,"frontier","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","log_capital",0.0408056530427596,0.0026223283460874,15.5608480927429,0,"frontier","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","Z_(Intercept)",-6.90350723365569,0.399877623772796,-17.2640498573587,0,"inefficiency","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","Z_diversificacion_area",0.916707578031438,0.133699894402668,6.85645700863877,7.05902003517167e-12,"inefficiency","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","Z_size_mediano",1.13041576849705,0.176237015497635,6.41417902649528,1.41583855750582e-10,"inefficiency","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","Z_size_grande",6.12371889181344,0.268576180675892,22.8006775448316,0,"inefficiency","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","Z_diversif_mediano",0.717856672694447,0.250950146152114,2.8605549098159,0.00422900311571395,"inefficiency","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","Z_diversif_grande",-3.6453681224645,0.252212574155656,-14.4535542475163,0,"inefficiency","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","Z_region_natural2",5.98311142908152,0.243268367567547,24.5946955163425,0,"inefficiency","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","Z_region_natural3",2.12589206596221,0.167157139620021,12.7179256045824,0,"inefficiency","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","Z_nivel_educacion",-0.0259259680334069,0.0115320552832339,-2.24816543076237,0.0245656431082057,"inefficiency","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","Z_capacitacion_recibida",-0.235382848346584,0.0859617576320392,-2.73822749593074,0.00617713291946731,"inefficiency","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","Z_asistencia_tecnica_recibida",-0.815878373912757,0.123937375426577,-6.58298895796854,4.61084503911025e-11,"inefficiency","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","Z_usuario_agua",0.513494479749461,0.0736810314311049,6.9691543369558,3.18856052672345e-12,"inefficiency","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","Z_asociacion_miembro",0.0381823128427153,0.0854341482466445,0.446920975117405,0.654932118823348,"inefficiency","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","Z_riego_any",-1.57459885676639,0.0890453357324407,-17.6831143800465,0,"inefficiency","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","Z_uso_maquinaria",0.490976202730033,0.0573700903974668,8.55805175359653,0,"inefficiency","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","Z_usa_abono",-0.0577467707469684,0.0545290937270543,-1.05900844485001,0.289595933770575,"inefficiency","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","Z_usa_fertilizantes",-2.53419503935487,0.0999910713103906,-25.3442132996882,0,"inefficiency","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","Z_semilla_semillero_any",0.123575609006341,0.0707988334716064,1.74544696496871,0.0809070965812684,"inefficiency","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","Z_semilla_comercial_any",1.37948121354138,0.0668638117499475,20.6312080845803,0,"inefficiency","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","sigmaSq",4.97594423834849,0.191637825439291,25.9653553620855,0,"variance","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
"controls_ena","gamma",0.914520017267735,0.00366590836519213,249.466142130316,0,"variance","",31824,26121,0.179204374057315,0.914520017267735,FALSE,FALSE,27,1456478.60495452,6.86587497130608e-07,"costo_total_agropecuario",TRUE,FALSE,FALSE
