group_type,group,n,weight_sum,mean_area_ha,mean_valor_total,mean_diversif,mean_practice_any
overall,overall,35187,2120007.81444825,4.598968734010271,28857.546882855706,0.5043822987549279,0.9529344891288901
region,1,8263,261788.26643235,4.299019516971558,70773.2067498971,0.422816889119725,0.9909222948438635
region,2,20601,1540262.7927622,1.8557219735738093,7172.153686230609,0.5675443946722658,0.9924757281553398
region,3,6323,317956.7552537,14.01655634098997,46390.96900969529,0.3947226332196111,0.7744741420211925
size,grande_>5ha,5840,232991.7729655,20.68774318150685,119621.87411517123,0.5321994960397303,0.8958904109589041
size,mediano_2_5ha,6278,355683.6697946,3.2045853416215357,29777.699576629973,0.5411429671838391,0.9530105129021982
size,pequeno_<2ha,21957,1530220.37168815,0.7184520953090131,5667.007539145564,0.4864729346095551,0.966888322098743
size,,1112,1112.0,,,,0.9765976597659766
