group_type,group,n,mean_diversificacion,mean_hhi,mean_num_crops,mean_area_ha
overall,overall,35187,0.5043822987549279,0.4956177012450721,3.5020983125458547,4.598968734010271
region,1,8263,0.422816889119725,0.577183110880275,3.3048471090933367,4.299019516971558
region,2,20601,0.5675443946722658,0.43245560532773414,3.6416879043324837,1.8557219735738093
region,3,6323,0.3947226332196111,0.6052773667803889,3.280329990294403,14.01655634098997
size,grande_>5ha,5840,0.5321994960397303,0.46780050396026973,3.7133561643835615,20.68774318150685
size,mediano_2_5ha,6278,0.5411429671838391,0.45885703281616086,3.938834023574387,3.2045853416215357
size,pequeno_<2ha,21957,0.4864729346095551,0.5135270653904449,3.3210365714806214,0.7184520953090131
size,,1112,,,,
