"model","term","estimate","std_error","z_value","p_value","odds_ratio"
"main","diversificacion_area",1.38189755404215,0.335264449050248,4.1218135652523,3.83592071564897e-05,3.98245137891043
"main","diversificacion_area:size_catmediano_2_5ha",0.106618603023612,0.435072315838284,0.245059497334788,0.80642305149463,1.1125098656552
"main","diversificacion_area:size_catpequeno_<2ha",0.116845483388503,0.456233140144396,0.256109153647896,0.797879846802852,1.12394574798404
"main_geo","diversificacion_area",1.40027412932513,0.353518102150711,3.96096867686897,7.5958514807412e-05,4.05631176845661
"main_geo","diversificacion_area:size_catmediano_2_5ha",0.0807410756198279,0.442719668345223,0.182375171904194,0.855297639489247,1.08409016285046
"main_geo","diversificacion_area:size_catpequeno_<2ha",0.000880715744591585,0.469297014637438,0.00187667024745937,0.998502729142922,1.00088110368858
