"model","term","estimate","std_error","z_value","p_value","odds_ratio"
"temp_topo","(Intercept)",4.1257201926373,0.98145905749509,4.20366001121543,2.6844210457332e-05,61.9123820396467
"temp_topo","diversificacion_area",1.2665810737105,0.386253173848568,3.2791473558404,0.00105022880670695,3.54869905772386
"temp_topo","size_catmediano_2_5ha",0.281625193221013,0.31718575646349,0.887887263164131,0.374655416122562,1.32528190224625
"temp_topo","size_catpequeno_<2ha",0.635039556614074,0.388724995301825,1.63364734526783,0.102412554916831,1.88709678714169
"temp_topo","log_area",0.198669800786021,0.144949383246918,1.37061501288068,0.170572820397974,1.21977912928565
"temp_topo","region_natural2",0.814541045896925,0.296946301065911,2.74305840137785,0.00611442723356105,2.25813905230402
"temp_topo","region_natural3",-0.39583846701458,0.209886582867478,-1.88596365525905,0.0593731038766817,0.673115417499011
"temp_topo","tmean_2024",-0.182354596759526,0.039763296972751,-4.58600293845074,4.65796672186108e-06,0.833305800483536
"temp_topo","delta_tmean_24_23",-0.0661322208264971,0.136508376654815,-0.48445540447473,0.628089546538447,0.936007096477554
"temp_topo","elev_m",-0.000351251075629137,0.000179354152584673,-1.95842176257007,0.0502507671157759,0.999648810605808
"temp_topo","slope_deg",0.126377059403606,0.0564450239916902,2.23894066237285,0.0252151991548192,1.13470994068365
"temp_topo","ruggedness",-0.114286812068156,0.0387131358694402,-2.95214555735263,0.00317430784167253,0.892002082228333
"temp_topo","prcp_total_z",0.488985492524113,0.0817228215459298,5.98346316578527,2.37829989719769e-09,1.6306610626739
"temp_topo","diversificacion_area:size_catmediano_2_5ha",0.258970797807743,0.461668396584605,0.560945474551851,0.574866502012826,1.29559597003302
"temp_topo","diversificacion_area:size_catpequeno_<2ha",0.0953936413552918,0.466739240071556,0.20438316122867,0.838064609562215,1.10009181153738
"controls_temp_topo","(Intercept)",0.599835707012223,1.17865684530132,0.508914625493797,0.610840805330041,1.82181946363885
"controls_temp_topo","diversificacion_area",0.791008996372664,0.358216258857248,2.20818842476909,0.0272890107819863,2.20562076724485
"controls_temp_topo","size_catmediano_2_5ha",0.045511162796137,0.3084943353127,0.147526737403477,0.882723889554459,1.04656268711466
"controls_temp_topo","size_catpequeno_<2ha",0.449789976935244,0.363572950220755,1.23713817725477,0.216110139552295,1.56798283834494
"controls_temp_topo","log_area",-0.0127362013114019,0.133522605025979,-0.0953861056629618,0.924013043595931,0.98734456086913
"controls_temp_topo","region_natural2",0.942553273644607,0.298308657249695,3.15965779315502,0.00159160912288767,2.56652610304536
"controls_temp_topo","region_natural3",-0.362455108755587,0.260326147530851,-1.39231157604955,0.163907304878604,0.695965555737255
"controls_temp_topo","tmean_2024",-0.0709091281380334,0.0460223057645015,-1.54075566098055,0.123457247561562,0.931546539650062
"controls_temp_topo","delta_tmean_24_23",-0.143439692888751,0.137152936152194,-1.04583756580743,0.295700732107252,0.866373047067532
"controls_temp_topo","elev_m",-0.000112282835839269,0.000199212967137037,-0.56363216437628,0.57303683981579,0.999887723467642
"controls_temp_topo","slope_deg",0.0578248714733093,0.0548459385616031,1.05431455801163,0.291804119994292,1.05952942563416
"controls_temp_topo","ruggedness",-0.0507654190800508,0.0371425003226641,-1.36677441311279,0.171774666182585,0.950501613925279
"controls_temp_topo","prcp_total_z",0.269807863384807,0.0738199186250229,3.6549466378489,0.000260617056879913,1.30971278277575
"controls_temp_topo","nivel_educacion",-0.0192769808049247,0.030951025800652,-0.622822032752097,0.533437828349917,0.980907632027041
"controls_temp_topo","capacitacion_recibida",0.71831334346293,0.222792384699805,3.22413777486516,0.00127392385310259,2.05097100803329
"controls_temp_topo","asistencia_tecnica_recibida",-0.045710786683519,0.333741056954971,-0.136964828662619,0.89106565287913,0.955318212989758
"controls_temp_topo","usuario_agua",0.396560133716548,0.157453849411271,2.51858011219992,0.0118225303694351,1.48670183619365
"controls_temp_topo","asociacion_miembro",0.0390626036140611,0.248339573061362,0.157295122692384,0.875020391864124,1.03983557907781
"controls_temp_topo","riego_any",0.245114649185304,0.166770259260679,1.46977434868746,0.141703396783651,1.2777677998447
"controls_temp_topo","uso_maquinaria",0.470595401939073,0.169909424341168,2.76968392873926,0.00563757194688077,1.60094711652055
"controls_temp_topo","usa_abono",1.32245717443594,0.164083321393808,8.05966848551279,1.00740199351824e-15,3.752630926673
"controls_temp_topo","usa_fertilizantes",0.120697528112183,0.160677796086874,0.751177393838073,0.452591144891138,1.12828358668278
"controls_temp_topo","semilla_semillero_any",0.011906051356193,0.154798753476214,0.0769130958023019,0.938696617685461,1.01197721051342
"controls_temp_topo","semilla_comercial_any",0.442783306878755,0.147668083807977,2.99850377590419,0.00273018418490492,1.55703489903099
"controls_temp_topo","diversificacion_area:size_catmediano_2_5ha",0.275294468061041,0.457692802058706,0.60148306205115,0.547553187004119,1.31691840818749
"controls_temp_topo","diversificacion_area:size_catpequeno_<2ha",-0.0613191432982162,0.447543472459845,-0.13701270842179,0.89102780964648,0.940523030251706
