group_type,group,n,share_geo_match,share_chirps_match,mean_prcp_total_z,sd_prcp_total_z
overall,overall,35187,0.9683974195015205,0.9683974195015205,-0.4489255695762446,0.8132997799163049
region,1,8263,0.9063294203073944,0.9063294203073944,-0.45856738589375906,0.5281049617792759
region,2,20601,0.9904373574098345,0.9904373574098345,-0.2907688825111498,0.7744071972498365
region,3,6323,0.9777004586430492,0.9777004586430492,-0.9592493289541689,0.9928754920745613
