group_type,group,n,share_temp_match,mean_tmean_2024,mean_tmean_2023,mean_delta_tmean,share_topo_match,mean_elev_m,mean_slope_deg,mean_ruggedness
overall,overall,35187,0.9683974195015205,17.095534849596483,17.828603081438008,-0.7330682318415259,0.9677437690055987,2113.1278397489223,5.141790992363151,7.5761143230316135
region,1,8263,0.9063294203073944,21.04513286153025,21.96812658565897,-0.9229937241287219,0.9063294203073944,563.0341891398464,3.3009414602131244,4.638409306105569
region,2,20601,0.9904373574098345,13.290227406390906,14.110953734561855,-0.8207263281709469,0.9893209067520994,3105.814692493557,6.33296055931333,9.387099159965093
region,3,6323,0.9777004586430492,24.870519249433844,25.084187965059854,-0.21366871562601014,0.9777004586430492,718.2233757604021,3.4414498582075543,5.157663701706548
