"model","term","estimate","std_error","p_value"
"main_area","Z_diversificacion_area",1.92937852869688,0.200791530039473,0
"main_area","Z_diversif_mediano",-0.199521795403742,0.242915799056814,0.41144012790545
"main_area","Z_diversif_grande",-5.54253931652772,0.28924203791928,0
"controls_ena","Z_diversificacion_area",0.916707578031438,0.133699894402668,7.05902003517167e-12
"controls_ena","Z_diversif_mediano",0.717856672694447,0.250950146152114,0.00422900311571395
"controls_ena","Z_diversif_grande",-3.6453681224645,0.252212574155656,0
"temp_topo","Z_diversificacion_area",0.273433189333513,0.246436363448995,0.267193473143497
"temp_topo","Z_diversif_mediano",2.53147103612905,0.341521809665032,1.24122934153093e-13
"temp_topo","Z_diversif_grande",-7.96995305804839,0.845918959346001,0
"controls_temp_topo","Z_diversificacion_area",0.0183194023724317,0.13532284309666,0.892314965765459
"controls_temp_topo","Z_diversif_mediano",1.96112405688758,0.265404236546447,1.47659662275146e-13
"controls_temp_topo","Z_diversif_grande",-3.58545521285092,0.291684236029161,0
