"model","term","estimate","std_error","z_value","p_value","odds_ratio"
"main","diversificacion_area",1.38189755404215,0.335264449050248,4.1218135652523,3.83592071564897e-05,3.98245137891043
"main","diversificacion_area:size_catmediano_2_5ha",0.106618603023612,0.435072315838284,0.245059497334788,0.80642305149463,1.1125098656552
"main","diversificacion_area:size_catpequeno_<2ha",0.116845483388503,0.456233140144396,0.256109153647896,0.797879846802852,1.12394574798404
"controls_ena","diversificacion_area",0.781186788353233,0.31945555534954,2.44536923923104,0.0145141280576795,2.18406274824912
"controls_ena","diversificacion_area:size_catmediano_2_5ha",0.239077547665643,0.43702133212672,0.547061504989233,0.584367642275569,1.27007702427346
"controls_ena","diversificacion_area:size_catpequeno_<2ha",-0.0739839592169231,0.457996360308153,-0.161538312590835,0.871677769718451,0.928686590581955
"temp_topo","diversificacion_area",1.2665810737105,0.386253173848568,3.2791473558404,0.00105022880670695,3.54869905772386
"temp_topo","diversificacion_area:size_catmediano_2_5ha",0.258970797807743,0.461668396584605,0.560945474551851,0.574866502012826,1.29559597003302
"temp_topo","diversificacion_area:size_catpequeno_<2ha",0.0953936413552918,0.466739240071556,0.20438316122867,0.838064609562215,1.10009181153738
"controls_temp_topo","diversificacion_area",0.791008996372664,0.358216258857248,2.20818842476909,0.0272890107819863,2.20562076724485
"controls_temp_topo","diversificacion_area:size_catmediano_2_5ha",0.275294468061041,0.457692802058706,0.60148306205115,0.547553187004119,1.31691840818749
"controls_temp_topo","diversificacion_area:size_catpequeno_<2ha",-0.0613191432982162,0.447543472459845,-0.13701270842179,0.89102780964648,0.940523030251706
