ANIO,NSEGM,ID_PROD,UA,RESFIN,REGION,FACTOR_PRODUCTOR,CODIGO,P101A,P102C_N,P102C_DEP_COD,P102C_DEP,P102C_CANT
2024,95994,1,01,1,1,1,2,1,1,02,ANCASH,1
2024,95998,1,01,1,1,1,2,1,2,10,HUANUCO,4
2024,95998,1,01,1,1,1,2,1,1,19,PASCO,8
2024,96032,1,01,2,1,1,2,2,2,12,JUNIN,1
2024,96032,1,01,2,1,1,2,2,1,14,LAMBAYEQUE,1
2024,96038,1,01,1,1,1,2,5,1,02,ANCASH,1
2024,96041,1,01,1,1,1,2,1,1,02,ANCASH,1
2024,96052,1,01,1,1,1,2,5,1,25,UCAYALI,1
2024,96056,1,01,1,1,1,2,7,1,11,ICA,3
2024,96093,1,01,2,1,1,2,2,1,11,ICA,2
2024,96104,1,01,1,1,1,2,2,1,14,LAMBAYEQUE,1
2024,96117,1,01,1,1,1,2,2,1,06,CAJAMARCA,1
2024,96138,1,01,1,1,1,2,7,1,20,PIURA,1
2024,96235,1,01,1,1,1,2,2,1,20,PIURA,1
2024,96236,1,01,1,1,1,2,7,1,11,ICA,1
2024,96241,1,01,1,1,1,2,2,1,11,ICA,2
2024,96262,1,01,1,1,1,2,2,2,05,AYACUCHO,1
2024,96262,1,01,1,1,1,2,2,1,11,ICA,1
2024,96267,1,01,1,1,1,2,7,1,11,ICA,1
2024,96293,1,01,2,3,1,2,2,1,22,SAN MARTIN,1
2024,96318,1,01,1,3,1,2,2,1,08,CUSCO,2
2024,96323,1,01,1,1,1,2,1,1,04,AREQUIPA,1
2024,96342,1,01,1,1,1,2,7,2,13,LA LIBERTAD,2
2024,96342,1,01,1,1,1,2,7,1,11,ICA,15
2024,96352,1,01,1,1,1,2,7,1,11,ICA,1
2024,96352,1,01,1,1,1,2,7,2,13,LA LIBERTAD,4
2024,96354,1,01,1,1,1,2,7,1,11,ICA,2
2024,96354,1,01,1,1,1,2,7,2,04,AREQUIPA,1
2024,96363,1,01,1,1,1,2,2,1,14,LAMBAYEQUE,2
2024,96377,1,01,1,1,1,2,7,1,11,ICA,18
2024,96377,1,01,1,1,1,2,7,2,14,LAMBAYEQUE,7
2024,96390,1,01,1,1,1,2,2,1,11,ICA,1
2024,96403,1,01,1,1,1,2,2,1,04,AREQUIPA,2
2024,96405,1,01,1,1,1,2,2,1,15,LIMA,1
2024,96407,1,01,1,1,1,2,2,1,02,ANCASH,1
2024,96408,1,01,1,1,1,2,2,1,15,LIMA,1
2024,96412,1,01,1,1,1,2,8,17,19,PASCO,2
2024,96412,1,01,1,1,1,2,8,8,10,HUANUCO,2
2024,96412,1,01,1,1,1,2,8,9,11,ICA,1
2024,96412,1,01,1,1,1,2,8,10,12,JUNIN,2
2024,96412,1,01,1,1,1,2,8,1,01,AMAZONAS,2
2024,96412,1,01,1,1,1,2,8,16,18,MOQUEGUA,2
2024,96412,1,01,1,1,1,2,8,15,17,MADRE DE DIOS,1
2024,96412,1,01,1,1,1,2,8,13,15,LIMA,4
2024,96412,1,01,1,1,1,2,8,2,02,ANCASH,2
2024,96412,1,01,1,1,1,2,8,6,08,CUSCO,2
2024,96412,1,01,1,1,1,2,8,5,06,CAJAMARCA,2
2024,96412,1,01,1,1,1,2,8,19,22,SAN MARTIN,2
2024,96412,1,01,1,1,1,2,8,21,24,TUMBES,1
2024,96412,1,01,1,1,1,2,8,20,23,TACNA,2
2024,96412,1,01,1,1,1,2,8,18,21,PUNO,1
2024,96412,1,01,1,1,1,2,8,12,14,LAMBAYEQUE,3
2024,96412,1,01,1,1,1,2,8,22,25,UCAYALI,2
