ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P142_3,P1207_N,P1207_NOM,P1207_COD,P1207_TIPO,P1208,OMICAP1200B_ME
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10008,05,05,1,3,250393005,21.36,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10009,01,01,1,3,250393003,8.829394,1,,1,1,0,2,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10009,01,01,1,3,250393003,8.829394,1,,1,1,0,1,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10009,02,02,1,3,250393003,.7341211,1,,1,1,0,2,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10009,02,02,1,3,250393003,.7341211,1,,1,1,0,1,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,01,01,1,3,250391005,3.896025,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,02,02,1,3,250391005,2.128094,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,03,03,1,3,250391005,8.33548,1,,1,1,0,1,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,03,03,1,3,250391005,8.33548,1,,1,1,0,2,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,04,04,1,3,250391005,21.88851,1,,1,1,0,2,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,04,04,1,3,250391005,21.88851,1,,1,1,0,1,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,05,05,1,3,250391005,1.99235,1,,1,1,0,1,CULTIVADORA,2029,2,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,06,06,1,3,250391005,5.38409,1,,1,1,0,1,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10012,01,01,1,3,250392005,56.02063,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10013,01,01,1,3,250391005,6.453477,1,,1,0,0,2,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10013,01,01,1,3,250391005,6.453477,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10013,02,02,1,3,250391005,47.80722,1,,1,0,0,2,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10013,02,02,1,3,250391005,47.80722,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10013,03,03,1,3,250391005,15.42459,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10013,03,03,1,3,250391005,15.42459,1,,1,0,0,2,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10013,04,04,1,3,250391005,15.7369,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10013,05,05,1,3,250391005,9.21442,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10013,06,06,1,3,250391005,8.385832,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10014,01,01,1,3,250391005,19.92978,1,,1,0,0,1,CULTIVADORA,2029,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10014,02,02,1,3,250391005,4.435269,1,,1,1,0,1,CULTIVADORA,2029,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10014,03,03,1,3,250391005,13.63667,1,,1,1,0,1,CULTIVADORA,2029,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10014,04,04,1,3,250391005,62.26325,1,,1,0,0,1,CULTIVADORA,2029,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10014,05,05,1,3,250391005,.1445945,1,,1,0,0,1,CULTIVADORA,2029,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10015,01,01,1,3,250393005,58.22547,1,,1,1,0,1,MOTOSIERRA,2059,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10015,01,01,1,3,250393005,58.22547,1,,1,1,0,2,CULTIVADORA,2029,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10015,02,02,1,3,250393005,91.52573,1,,1,0,0,3,CULTIVADORA,2029,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10015,02,02,1,3,250393005,91.52573,1,,1,0,0,1,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10015,02,02,1,3,250393005,91.52573,1,,1,0,0,4,MOTOFURGON,1036,1,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10015,02,02,1,3,250393005,91.52573,1,,1,0,0,2,MOTOFUMIGADORA,2056,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10015,03,03,1,3,250393005,80.92716,1,,1,0,0,2,CULTIVADORA,2029,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10015,03,03,1,3,250393005,80.92716,1,,1,0,0,3,MOTOFURGON,1036,1,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10015,03,03,1,3,250393005,80.92716,1,,1,0,0,1,MOTOFUMIGADORA,2056,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10016,02,02,1,3,250391005,14.50153,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10016,04,04,1,3,250391005,3.746287,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,01,01,1,3,250391005,2.545616,1,,1,1,0,2,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,01,01,1,3,250391005,2.545616,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,02,02,1,3,250391005,14.24374,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,03,03,1,3,250391005,.1122787,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,03,03,1,3,250391005,.1122787,1,,1,0,0,2,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,04,04,1,3,250391005,.2267063,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,04,04,1,3,250391005,.2267063,1,,1,1,0,2,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,06,06,1,3,250391005,34.49646,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,06,06,1,3,250391005,34.49646,1,,1,0,0,2,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,12,12,1,3,250391005,2.643015,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,01,01,1,3,250392005,6.135175,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,01,01,1,3,250392005,6.135175,1,,1,1,0,2,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,02,02,1,3,250392005,7.666791,1,,1,1,0,1,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,02,02,1,3,250392005,7.666791,1,,1,1,0,2,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,04,04,1,3,250392005,7.202774,1,,1,0,0,1,MOTOFUMIGADORA,2056,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,05,05,1,3,250392005,32.42104,1,,1,0,0,1,MOTOFUMIGADORA,2056,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,06,06,1,3,250392005,20.98761,1,,1,0,0,1,MOTOFUMIGADORA,2056,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,07,07,1,3,250392005,18.99953,1,,1,0,0,2,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,07,07,1,3,250392005,18.99953,1,,1,0,0,1,MOTOFUMIGADORA,2056,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,08,08,1,3,250392005,.5630587,1,,1,1,0,2,MOTOFUMIGADORA,2056,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,08,08,1,3,250392005,.5630587,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10020,01,01,1,3,250391005,13.82371,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10020,01,01,1,3,250391005,13.82371,1,,1,1,0,2,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10020,02,02,1,3,250391005,2.638437,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
