variable,description,type,length,decimal,page
P102C_CANT,"¿EN QUÉ DEPARTAMENTOS SE ENCUENTRAN UBICADAS (Incluya parcelas arrendadas, propias, invadidas, cedidas, etc.)? CANTIDAD",N,2,,6
P105,NÚMERO DE PARCELA O CHACRA QUE TRABAJA O CONDUCE ACTUALMENTE,N,3,,7
P105_SUP_1,"¿CUÁL ES LA SUPERFICIE TOTAL DE CADA UNA DE LAS PARCELAS O CHACRAS QUE TRABAJA O CONDUCE (Incluya barbecho, descanso, montes y bosques, etc.)? ENTERO",N,6,,7
P105_SUP_2,"¿CUÁL ES LA SUPERFICIE TOTAL DE CADA UNA DE LAS PARCELAS O CHACRAS QUE TRABAJA O CONDUCE (Incluya barbecho, descanso, montes y bosques, etc.)? DECIMAL",AN,3,,7
P105_EQUIV_1,SUPERFICIE DE LA PARCELA (Hectáreas) ENTERO,N,6,,7
P105_EQUIV_2,SUPERFICIE DE LA PARCELA (Hectáreas) DECIMAL,AN,4,,7
P105_SUP_ha,"¿CUÁL ES LA SUPERFICIE TOTAL DE CADA UNA DE LAS PARCELAS O CHACRAS QUE TRABAJA O CONDUCE (Incluya barbecho, descanso, montes y bosques, etc.)? (Hectáreas)",N,11,3,7
P108,"¿ESTA ES, SU PARCELA PRINCIPAL?",N,1,,7
P109_MES,¿DESDE CUÁNDO TRABAJA O CONDUCE ESTA PARCELA O CHACRA? MES,N,2,,7
P109_ANIO,¿DESDE CUÁNDO TRABAJA O CONDUCE ESTA PARCELA O CHACRA? AÑO,N,4,,7
P111_1,"DE ESTA PARCELA O CHACRA, ¿UD. ES: Propietario",N,1,,7
P111_2,"DE ESTA PARCELA O CHACRA, ¿UD. ES: Comunero",N,1,,8
P111_3,"DE ESTA PARCELA O CHACRA, ¿UD. ES: Arrendatario",N,1,,8
P111_4,"DE ESTA PARCELA O CHACRA, ¿UD. ES: Posesionario",N,1,,8
P111_5,"DE ESTA PARCELA O CHACRA, ¿UD. ES: Otro",N,1,,8
P112,UD/EL PRODUCTOR ES PROPIETARIO:,N,1,,8
P113_SUP_1,¿CUÁL ES LA SUPERFICIE INSCRITA EN REGISTROS PÚBLICOS? ENTERO,N,6,,8
P113_SUP_2,¿CUÁL ES LA SUPERFICIE INSCRITA EN REGISTROS PÚBLICOS? DECIMAL,AN,3,,8
P114,"EN ESTA PARCELA ACTUALMENTE, ¿TIENE CULTIVOS INSTALADOS O SEMBRADOS ?",N,1,,8
P140,¿CUÁL ES LA RAZÓN PRINCIPAL POR LA QUE LA SUPERFICIE AGRÍCOLA ESTÁ SIN CULTIVO POR MÁS DE UN AÑO?,N,1,,8
P141_1,"¿QUÉ INSTITUCIÓN INSTALÓ EL SISTEMA DE RIEGO TECNIFICADO? Ministerio de Desarrollo Agrario y Riego (PSI, AGRORURAL, etc)",N,1,,8
P141_2,¿QUÉ INSTITUCIÓN INSTALÓ EL SISTEMA DE RIEGO TECNIFICADO? Gobierno Local,N,1,,8
P141_3,¿QUÉ INSTITUCIÓN INSTALÓ EL SISTEMA DE RIEGO TECNIFICADO? Gobierno Regional,N,1,,8
P141_4,¿QUÉ INSTITUCIÓN INSTALÓ EL SISTEMA DE RIEGO TECNIFICADO? Organismo No Gubernamental (ONG),N,1,,8
P141_5,¿QUÉ INSTITUCIÓN INSTALÓ EL SISTEMA DE RIEGO TECNIFICADO? Empresas Mineras,N,1,,8
P141_6,¿QUÉ INSTITUCIÓN INSTALÓ EL SISTEMA DE RIEGO TECNIFICADO? Cooperación Técnica,N,1,,8
P141_7,¿QUÉ INSTITUCIÓN INSTALÓ EL SISTEMA DE RIEGO TECNIFICADO? Otra,N,1,,8
P141_8,¿QUÉ INSTITUCIÓN INSTALÓ EL SISTEMA DE RIEGO TECNIFICADO? MISMO PRODUCTOR,N,1,,8
P1201,"EN LOS PRÓXIMOS 12 MESES DE………A………, ¿SEMBRARÁ O INSTALARÁ CULTIVOS EN ESTA PARCELA?",N,1,,8
OMICAP100A_03,OMISIÓN DE PARCELA O CHACRA QUE TRABAJA O CONDUCE ACTUALMENTE,AN,2,,8
P115_LOTE,NÚMERO DE LOTE EN LA PARCELA DIBUJADA,N,2,,9
P115,NÚMERO DE CULTIVO / USOS DE LA TIERRA,N,3,,9
P115_NOM,¿QUÉ CULTIVOS TIENE ACTUALMENTE EN ESTA PARCELA O CHACRA?,A,50,,9
P115_COD,CÓDIGO DE CULTIVO,N,4,,9
P115_TIPO,TIPO DE CULTIVO,N,1,,9
P116_NOM,¿CUÁL ES LA VARIEDAD DEL CULTIVO …….. ? VARIEDAD NOMBRE,A,100,,9
P116_COD,¿CUÁL ES LA VARIEDAD DEL CULTIVO …….. ? VARIEDAD CÓDIGO,N,3,,9
P117_SUP_1,¿CUÁL ES LA SUPERFICIE SEMBRADA DE ……? ENTERO,N,6,,9
P117_SUP_2,¿CUÁL ES LA SUPERFICIE SEMBRADA DE ……? DECIMAL,AN,3,,9
P117_SUP_ha,¿CUÁL ES LA SUPERFICIE SEMBRADA DE ……? (Hectáreas),N,11,3,9
P119,¿ESTA BAJO:,N,1,,10
P120,"PRINCIPALMENTE, ¿DE DÓNDE PROCEDE EL AGUA PARA REGAR EL CULTIVO DE……?",N,1,,10
P121,¿QUÉ SISTEMA DE RIEGO UTILIZA?,N,1,,10
P122,PARA LA SIEMBRA DE… UTILIZÓ SEMILLA:,N,1,,10
P123,¿LA CONDUCCIÓN DEL CULTIVO ES:,N,1,,10
P124_MES,¿EN QUÉ MES Y AÑO FUE LA SIEMBRA/INSTALACIÓN DE………? MES,N,2,,10
P124_ANIO,¿EN QUÉ MES Y AÑO FUE LA SIEMBRA/INSTALACIÓN DE………? AÑO,N,4,,10
P125_MES,¿CUÁNDO SERÁ LA FECHA DE INICIO DE COSECHA DE...…? MES,N,2,,10
P125_ANIO,¿CUÁNDO SERÁ LA FECHA DE INICIO DE COSECHA DE...…? AÑO,N,4,,10
P126,¿CUÁNTAS PLANTAS DE…….……. ACTUALMENTE TIENE INSTALADAS? CANTIDAD,N,8,,10
OMICAP100A_04,OMISIÓN DE CULTIVOS Y USOS DE LA TIERRA,AN,2,,10
FACTOR_SUPERFICIE,FACTOR DE EXPANSIÓN DE SUPERFICIE,N,6,2,11
P118_AREA,Superficie dibujada de ..... (Héctareas),N,11,4,11
P118_AREA_IN,Superficie dibujada de ..... dentro del segmento (Héctareas),N,11,4,11
P142_1,"EN LOS ÚLTIMOS 12 MESES, DE…..A……..LA EMPRESA/UD. REALIZÓ ACTIVIDAD: ¿Agrícola?",N,1,,13
P142_2,"EN LOS ÚLTIMOS 12 MESES, DE…..A……..LA EMPRESA/UD. REALIZÓ ACTIVIDAD: ¿Pecuaria?",N,1,,13
P142_3,"EN LOS ÚLTIMOS 12 MESES, DE…..A……..LA EMPRESA/UD. REALIZÓ ACTIVIDAD: NO REALIZÓ ACTIVIDAD",N,1,,13
P143,¿CUÁL ES EL PRINCIPAL MOTIVO POR EL QUE NO HA REALIZADO ACTIVIDAD AGRÍCOLA Y/O PECUARIO?,N,1,,13
P144,"ADEMÁS DE LAS …………. PARCELAS O CHACRAS, EN LOS ÚLTIMOS 12 MESES, DE …………… A ……………, UD. ¿TRABAJÓ O CONDUJO ALGUNA OTRA PARCELA O CHACRA EN ESTE DISTRITO (Incluya parcelas que fueron arrendadas, propias, invadidas, cedidas,etc., así actualmente no las conduzca)?",N,1,,13
P145,¿CUÁNTAS PARCELAS?,N,3,,13
P146_SUP_1,"DE LA/S…………. PARCELAS O CHACRAS QUE TRABAJÓ O CONDUJO, ¿CUÁL FUE LA SUPERFICIE TOTAL (Incluya barbecho, descanso, montes y bosques, etc.)? ENTERO",N,6,,13
P146_SUP_2,"DE LA/S…………. PARCELAS O CHACRAS QUE TRABAJÓ O CONDUJO, ¿CUÁL FUE LA SUPERFICIE TOTAL (Incluya barbecho, descanso, montes y bosques, etc.)? DECIMAL",AN,3,,14
P146_UM,UNIDAD DE MEDIDA,N,1,,14
P146_COD,CÓDIGO DE UNIDAD DE MEDIDA,AN,3,,14
P146_EQUIV_1,EQUIVALENCIA EN HECTAREAS - ENTERO,N,6,,14
P146_EQUIV_2,EQUIVALENCIA EN HECTAREAS - DECIMAL,AN,4,,14
P146_SUP_ha,"DE LA/S…………. PARCELAS O CHACRAS QUE TRABAJÓ O CONDUJO, ¿CUÁL FUE LA SUPERFICIE TOTAL (Incluya barbecho, descanso, montes y bosques, etc.)? (Hectáreas)",N,11,3,14
P229A_1,¿POR QUÉ MOTIVOS NO VENDIÓ SU PRODUCCIÓN? Lo utilizó para autoconsumo,N,1,,14
P229A_2,¿POR QUÉ MOTIVOS NO VENDIÓ SU PRODUCCIÓN? Es solo para alimentar a sus animales,N,1,,14
P229A_3,¿POR QUÉ MOTIVOS NO VENDIÓ SU PRODUCCIÓN? La producción es baja,N,1,,14
P229A_4,¿POR QUÉ MOTIVOS NO VENDIÓ SU PRODUCCIÓN? Falta acceso o medios de transporte,N,1,,14
P229A_5,¿POR QUÉ MOTIVOS NO VENDIÓ SU PRODUCCIÓN? Lo utilizó para semilla,N,1,,14
P229A_6,¿POR QUÉ MOTIVOS NO VENDIÓ SU PRODUCCIÓN? Otro,N,1,,14
P229B,"EN LOS ÚLTIMOS 12 MESES, DE ……..………. A …………….…., DE SU PRODUCCIÓN, ¿/UD. ELABORÓ DERIVADOS AGRÍCOLAS TALES COMO: CHUÑO, MORÓN, CHOCHOCA, JORA, ETC.?",N,1,,14
P229F,"EN LOS ÚLTIMOS 12 MESES, DE ……..………. A …………….…., DE SU PRODUCCIÓN, ¿UD. OBTUVO SUBPRODUCTOS AGRÍCOLAS TALES COMO: CHALA DE MAÍZ, PANCA DE CHOCLO, HOJAS DE CAMOTE, PAJA DE TRIGO, ETC.?",N,1,,14
P242_1,"EN LOS ÚLTIMOS 12 MESES, DE ………. A ………. ¿POR QUÉ NO UTILIZÓ ABONOS, FERTILIZANTES Y PLAGUICIDAS EN LOS CULTIVOS COSECHADOS? PRECIOS ELEVADOS",N,1,,14
P242_2,"EN LOS ÚLTIMOS 12 MESES, DE ………. A ………. ¿POR QUÉ NO UTILIZÓ ABONOS, FERTILIZANTES Y PLAGUICIDAS EN LOS CULTIVOS COSECHADOS? CONTAMINAN EL SUELO",N,1,,14
P242_3,"EN LOS ÚLTIMOS 12 MESES, DE ………. A ………. ¿POR QUÉ NO UTILIZÓ ABONOS, FERTILIZANTES Y PLAGUICIDAS EN LOS CULTIVOS COSECHADOS? NO VENDEN POR LA ZONA",N,1,,14
P242_4,"EN LOS ÚLTIMOS 12 MESES, DE ………. A ………. ¿POR QUÉ NO UTILIZÓ ABONOS, FERTILIZANTES Y PLAGUICIDAS EN LOS CULTIVOS COSECHADOS? OTRO",N,1,,14
P410A,"EN LOS ÚLTIMOS 12 MESES, DE…A…. , ¿UD. HA UTILIZADO SEMEN O EMBRIONES CERTIFICADOS PARA REPRODUCIR O MEJORAR LOS ANIMALES QUE CRIA?",N,1,,14
P410F_1,¿QUÉ CERTIFICADOS O REGISTROS TIENE DEL SEMEN Y/O EMBRIONES QUE HA UTILIZADO? Certificado sanitario,N,1,,15
P410F_2,¿QUÉ CERTIFICADOS O REGISTROS TIENE DEL SEMEN Y/O EMBRIONES QUE HA UTILIZADO? Registros genealógicos,N,1,,15
P410F_3,¿QUÉ CERTIFICADOS O REGISTROS TIENE DEL SEMEN Y/O EMBRIONES QUE HA UTILIZADO? Registros productivos,N,1,,15
P410F_4,¿QUÉ CERTIFICADOS O REGISTROS TIENE DEL SEMEN Y/O EMBRIONES QUE HA UTILIZADO? NINGUNO,N,1,,15
P410G_1,"¿QUÉ INSTITUCIÓN O PERSONA LE PROPORCIONÓ EL SEMEN, EMBRIONES Y/O REPRODUCTORES? Ministerio de Desarrollo Agrario y Riego",N,1,,15
P410G_2,"¿QUÉ INSTITUCIÓN O PERSONA LE PROPORCIONÓ EL SEMEN, EMBRIONES Y/O REPRODUCTORES? Gobierno Local",N,1,,15
P410G_3,"¿QUÉ INSTITUCIÓN O PERSONA LE PROPORCIONÓ EL SEMEN, EMBRIONES Y/O REPRODUCTORES? Gobierno Regional",N,1,,15
P410G_4,"¿QUÉ INSTITUCIÓN O PERSONA LE PROPORCIONÓ EL SEMEN, EMBRIONES Y/O REPRODUCTORES? Organismo No Gubernamental (ONG)",N,1,,15
P410G_5,"¿QUÉ INSTITUCIÓN O PERSONA LE PROPORCIONÓ EL SEMEN, EMBRIONES Y/O REPRODUCTORES? Empresa privada",N,1,,15
P410G_6,"¿QUÉ INSTITUCIÓN O PERSONA LE PROPORCIONÓ EL SEMEN, EMBRIONES Y/O REPRODUCTORES? Asociación de productores/as",N,1,,15
P410G_7,"¿QUÉ INSTITUCIÓN O PERSONA LE PROPORCIONÓ EL SEMEN, EMBRIONES Y/O REPRODUCTORES? Otra",N,1,,15
P418,"EN LOS ÚLTIMOS 12 MESES, DE…A…. , DE SU PRODUCCIÓN, ¿UD. ELABORÓ DERIVADOS TALES COMO: CHARQUI, QUESO, MANTEQUILLA, YOGURT, JAMÓN, ETC.?",N,1,,15
OMICAP100B_01,OMISIÓN DE CARACTERISTICAS DE LA UNIDAD AGROPECUARIA EN LOS ÚLTIMOS DOCE MESES,AN,2,,15
P147,NÚMERO DE PARCELA O CHACRA QUE TRABAJÓ O CONDUJO EN LOS ÚLTIMOS 12 MESES,N,3,,16
P147_SUP_1,"¿CUÁL ES LA SUPERFICIE TOTAL DE CADA UNA DE LAS PARCELAS O CHACRAS QUE TRABAJÓ O CONDUJO EN LOS ÚLTIMOS 12 MESES, (Incluya barbecho, descanso, montes y bosques, etc.)? ENTERO",N,6,,16
P147_SUP_2,"¿CUÁL ES LA SUPERFICIE TOTAL DE CADA UNA DE LAS PARCELAS O CHACRAS QUE TRABAJÓ O CONDUJO EN LOS ÚLTIMOS 12 MESES, (Incluya barbecho, descanso, montes y bosques, etc.)? DECIMAL",AN,3,,16
P147_EQUIV_1,SUPERFICIE DE LA PARCELA (Hectáreas) ENTERO,N,6,,16
P147_EQUIV_2,SUPERFICIE DE LA PARCELA (Hectáreas) DECIMAL,AN,4,,16
P147_SUP_ha,"¿CUÁL ES LA SUPERFICIE TOTAL DE CADA UNA DE LAS PARCELAS O CHACRAS QUE TRABAJÓ O CONDUJO EN LOS ÚLTIMOS 12 MESES, (Incluya barbecho, descanso, montes y bosques, etc.)? (Hectáreas)",N,11,3,17
P107,"¿CUÁL ES EL NOMBRE DE LA PARCELA, CHACRA O FUNDO?",AN,50,,17
P148_DIA,¿HASTA CUÁNDO TRABAJÓ O CONDUJO ESTA PARCELA O CHACRA? DÍA,N,2,,17
P148_MES,¿HASTA CUÁNDO TRABAJÓ O CONDUJO ESTA PARCELA O CHACRA? MES,N,2,,17
P148_ANIO,¿HASTA CUÁNDO TRABAJÓ O CONDUJO ESTA PARCELA O CHACRA? AÑO,N,4,,17
P202,"EN LOS ÚLTIMOS 12 MESES, DE…..A…….., ¿UD. TUVO COSECHAS DE CULTIVOS EN ESTA PARCELA?",N,1,,17
P224A,"EN ESTA PARCELA DE LOS CULTIVOS QUE SEMBRÓ/INSTALÓ, EN LOS ÚLTIMOS 12 MESES, DE ……… A ……, ¿UD. HA PERDIDO TOTALMENTE PRODUCCIÓN O SUPERFICIE?",N,1,,17
P224G_1,"EN LOS ÚLTIMOS 12 MESES, DE ……… A ……, ¿POR QUÉ NO TUVO SIEMBRAS/COSECHAS DE CULTIVOS EN ESTA PARCELA? FALTA DE MANO DE OBRA",N,1,,17
P224G_2,"EN LOS ÚLTIMOS 12 MESES, DE ……… A ……, ¿POR QUÉ NO TUVO SIEMBRAS/COSECHAS DE CULTIVOS EN ESTA PARCELA? EXCESO DE LLUVIAS",N,1,,17
P224G_3,"EN LOS ÚLTIMOS 12 MESES, DE ……… A ……, ¿POR QUÉ NO TUVO SIEMBRAS/COSECHAS DE CULTIVOS EN ESTA PARCELA? FALTA DE CRÉDITO",N,1,,17
P224G_4,"EN LOS ÚLTIMOS 12 MESES, DE ……… A ……, ¿POR QUÉ NO TUVO SIEMBRAS/COSECHAS DE CULTIVOS EN ESTA PARCELA? RECIÉN SEMBRADO",N,1,,17
P224G_5,"EN LOS ÚLTIMOS 12 MESES, DE ……… A ……, ¿POR QUÉ NO TUVO SIEMBRAS/COSECHAS DE CULTIVOS EN ESTA PARCELA? FUE AFECTADA POR PLAGAS Y ENFERMEDADES",N,1,,17
P224G_6,"EN LOS ÚLTIMOS 12 MESES, DE ……… A ……, ¿POR QUÉ NO TUVO SIEMBRAS/COSECHAS DE CULTIVOS EN ESTA PARCELA? FALTA DE AGUA",N,1,,18
P224G_8,"EN LOS ÚLTIMOS 12 MESES, DE ……… A ……, ¿POR QUÉ NO TUVO SIEMBRAS/COSECHAS DE CULTIVOS EN ESTA PARCELA? DESCANSO",N,1,,18
P224G_9,"EN LOS ÚLTIMOS 12 MESES, DE ……… A ……, ¿POR QUÉ NO TUVO SIEMBRAS/COSECHAS DE CULTIVOS EN ESTA PARCELA? CULTIVO EN DESARROLLO",N,1,,18
P224G_7,"EN LOS ÚLTIMOS 12 MESES, DE ……… A ……, ¿POR QUÉ NO TUVO SIEMBRAS/COSECHAS DE CULTIVOS EN ESTA PARCELA? OTRO",N,1,,18
