file,rows,cols,key_cols,design_cols,missing_keys,dup_keys,crop_id_col,dup_keys_crop
data/raw/ENA_2024/973-Modulo1893/01_CAP100A_01.csv,39153,30,"ANIO,CCDD,CCPP,CCDI,NSEGM,ID_PROD,UA","ESTRATO,FACTOR_PRODUCTOR,NSEGM",ANIO:0.0000;CCDD:0.0418;CCPP:0.0418;CCDI:0.0418;NSEGM:0.0000;ID_PROD:0.0000;UA:0.0000,0,,
data/raw/ENA_2024/973-Modulo1893/01_CAP100A_02.csv,170,13,"ANIO,NSEGM,ID_PROD,UA","FACTOR_PRODUCTOR,NSEGM",ANIO:0.0000;NSEGM:0.0000;ID_PROD:0.0000;UA:0.0000,59,,
data/raw/ENA_2024/973-Modulo1893/01_CAP100A_03.csv,136171,45,"ANIO,CCDD,CCPP,CCDI,NSEGM,ID_PROD,UA","ESTRATO,FACTOR_PRODUCTOR,NSEGM",ANIO:0.0000;CCDD:0.0277;CCPP:0.0277;CCDI:0.0277;NSEGM:0.0000;ID_PROD:0.0000;UA:0.0000,97043,,
data/raw/ENA_2024/973-Modulo1893/01_CAP100A_04.csv,426505,38,"ANIO,CCDD,CCPP,CCDI,NSEGM,ID_PROD,UA","ESTRATO,FACTOR_PRODUCTOR,NSEGM",ANIO:0.0000;CCDD:0.0502;CCPP:0.0502;CCDI:0.0502;NSEGM:0.0000;ID_PROD:0.0000;UA:0.0000,387395,P115_COD,173293.0
data/raw/ENA_2024/973-Modulo1893/CARATULA.csv,40237,17,"ANIO,CCDD,CCPP,CCDI,NSEGM,ID_PROD,UA","ESTRATO,FACTOR_PRODUCTOR,NSEGM",ANIO:0.0000;CCDD:0.0431;CCPP:0.0431;CCDI:0.0431;NSEGM:0.0000;ID_PROD:0.0000;UA:0.0000,0,,
data/raw/ENA_2024/973-Modulo1893/USOSTIERRA.csv,426505,40,"ANIO,CCDD,CCPP,CCDI,NSEGM,ID_PROD,UA","ESTRATO,FACTOR_SUPERFICIE,NSEGM",ANIO:0.0000;CCDD:0.0000;CCPP:0.0000;CCDI:0.0000;NSEGM:0.0000;ID_PROD:0.0000;UA:0.0000,387395,P115_COD,173293.0
data/raw/ENA_2024/973-Modulo1894/02_CAP100B_01.csv,39153,55,"ANIO,CCDD,CCPP,CCDI,NSEGM,ID_PROD,UA","ESTRATO,FACTOR_PRODUCTOR,NSEGM",ANIO:0.0000;CCDD:0.0418;CCPP:0.0418;CCDI:0.0418;NSEGM:0.0000;ID_PROD:0.0000;UA:0.0000,0,,
data/raw/ENA_2024/973-Modulo1894/02_CAP100B_02.csv,136581,50,"ANIO,CCDD,CCPP,CCDI,NSEGM,ID_PROD,UA","ESTRATO,FACTOR_PRODUCTOR,NSEGM",ANIO:0.0000;CCDD:0.0266;CCPP:0.0266;CCDI:0.0266;NSEGM:0.0000;ID_PROD:0.0000;UA:0.0000,97490,,
data/raw/ENA_2024/973-Modulo1895/03_CAP200A.csv,115517,29,"ANIO,CCDD,CCPP,CCDI,NSEGM,ID_PROD,UA","ESTRATO,FACTOR_PRODUCTOR,NSEGM",ANIO:0.0000;CCDD:0.0333;CCPP:0.0333;CCDI:0.0333;NSEGM:0.0000;ID_PROD:0.0000;UA:0.0000,101046,P204_COD,94070.0
data/raw/ENA_2024/973-Modulo1895/03_CAP200AB.csv,165711,127,"ANIO,CCDD,CCPP,CCDI,NSEGM,ID_PROD,UA","ESTRATO,FACTOR_PRODUCTOR,NSEGM",ANIO:0.0000;CCDD:0.0264;CCPP:0.0264;CCDI:0.0264;NSEGM:0.0000;ID_PROD:0.0000;UA:0.0000,130524,P204_COD,43576.0
data/raw/ENA_2024/973-Modulo1896/04_CAP200B_1.csv,5041,33,"ANIO,CCDD,CCPP,CCDI,NSEGM,ID_PROD,UA","ESTRATO,FACTOR_PRODUCTOR,NSEGM",ANIO:0.0000;CCDD:0.0071;CCPP:0.0071;CCDI:0.0071;NSEGM:0.0000;ID_PROD:0.0000;UA:0.0000,1761,,
data/raw/ENA_2024/973-Modulo1897/05_CAP200C.csv,21959,39,"ANIO,CCDD,CCPP,CCDI,NSEGM,ID_PROD,UA","ESTRATO,FACTOR_PRODUCTOR,NSEGM",ANIO:0.0000;CCDD:0.0052;CCPP:0.0052;CCDI:0.0052;NSEGM:0.0000;ID_PROD:0.0000;UA:0.0000,10800,P229C_COD,0.0
