ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P142_3,P105,P147,P147_SUP_1,P147_SUP_2,P147_EQUIV_1,P147_EQUIV_2,P147_SUP_ha,P107,P148_DIA,P148_MES,P148_ANIO,P111_1,P111_2,P111_3,P111_4,P111_5,P112,P113_SUP_1,P113_SUP_2,P202,P224A,P224G_1,P224G_2,P224G_3,P224G_4,P224G_5,P224G_6,P224G_8,P224G_9,P224G_7,OMICAP100B_02
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,03,03,1,3,250391005,1.18991,1,,1,1,0,2,2,2,000,2,0000,2,FUNDO DULCE,,,,1,0,0,0,0,4,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,03,03,1,3,250391005,1.18991,1,,1,1,0,1,1,11,500,11,5000,11.5,FUNDO ZUÑIGA,,,,1,0,0,0,0,1,11,500,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,06,06,1,3,250391005,2.99838,1,,1,1,0,1,1,44,500,44,5000,44.5,FUNDO MAYO,,,,1,0,0,0,0,2,, ,2,2,0,0,0,0,0,0,0,1,0,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,06,06,1,3,250391005,2.99838,1,,1,1,0,2,2,40,000,40,0000,40,FUNDO MAYO II,,,,1,0,0,0,0,2,, ,2,2,0,0,0,0,0,0,0,1,0,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,06,06,1,3,250391005,2.99838,1,,1,1,0,3,3,60,000,60,0000,60,FUNDO MAYO II,,,,1,0,0,0,0,2,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,07,07,1,3,250391005,8.017953,1,,1,1,0,1,1,26,000,26,0000,26,FUNDO SAN JUAN,,,,1,0,0,0,0,2,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,08,08,1,3,250391005,21.4156,1,,1,1,0,1,1,12,300,12,3000,12.3,FUNDO LIRIO,,,,1,0,0,0,0,2,, ,2,2,0,0,0,1,0,0,0,1,0,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10005,01,01,1,3,250391003,.96399,1,,1,1,0,1,1,80,000,80,0000,80,FUNDO SANTAMARIA,,,,1,0,0,0,0,3,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10005,02,02,1,3,250391003,.1062822,1,,1,1,0,1,1,7,000,7,0000,7,FUNDO EL ABUELO,,,,1,0,0,0,0,3,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,01,01,1,3,250391005,29.66294,1,,0,0,1,1,1,18,000,18,0000,18,FUNDO JHONY,,,,1,0,0,0,0,3,, ,2,2,0,0,1,0,0,0,0,0,0,
