ANIO,NSEGM,ID_PROD,UA,RESFIN,REGION,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P404AA_1,P404AA_2,P404AA_3,P404AA_4,P404AA_5,P404AA_6,P410AA,P410AB1,P410AB2,P410AC_CANT_1,P410AC_CANT_2,P410AD,P410AD1,P410AD2,P410AD3,P410AE,OMICAP400_02
2024,95118,01,01,1,1,1,2,1,1,1,1,0,0,0,0,0,1,5,0,0,400,100,2,1,1,4, 
2024,95119,01,01,1,1,1,2,2,1,1,1,0,0,0,0,0,1,72,0,23,000,10000,2,1,2,2, 
2024,95121,01,01,1,1,1,2,2,1,1,1,0,0,0,0,0,1,20,0,4,000,1200,2,1,2,4, 
2024,95122,01,01,1,1,1,2,1,1,1,0,0,0,1,0,0,4,1,0,0,010,500,2,1,1,1, 
2024,95124,01,01,1,1,1,2,2,1,1,1,0,0,0,0,0,1,35,0,3,300,1200,2,1,2,6, 
2024,95125,01,01,1,1,1,2,2,0,1,1,0,0,0,0,0,1,11,2,2,500,500,2,1,1,3, 
2024,95126,01,01,1,1,1,2,7,1,1,0,0,1,0,0,0,1,2,0,1,000,330,2,1,2,2, 
2024,95126,01,01,1,1,1,2,7,1,1,0,0,0,1,0,0,3,2,0,0,050,50,2,1,1,2, 
2024,95126,01,01,1,1,1,2,7,1,1,1,0,0,0,0,0,4,3,0,0,400,2500,2,2,,2, 
2024,95127,01,01,1,1,1,2,2,0,1,0,0,0,0,1,0,8,35,0,5,000,500000,2,1,2,3, 
2024,95127,01,01,1,1,1,2,2,0,1,0,0,1,0,0,0,6,55,0,36,000,500000,2,1,2,3, 
2024,95127,01,01,1,1,1,2,2,0,1,0,0,0,0,1,0,5,45,0,57,000,5700000,2,1,2,3, 
2024,95127,01,01,1,1,1,2,2,0,1,0,0,0,0,1,0,3,100,0,20,000,200000,2,1,2,3, 
2024,95132,01,01,1,2,1,2,1,0,1,0,0,1,0,0,0,3,1,7,0,200,10,2,1,2,1, 
2024,95133,01,01,1,2,1,2,5,0,1,0,0,0,1,0,0,4,8,0,0,100,4000,2,1,1,1, 
2024,95135,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,2,0,0,035,200,2,1,1,1, 
2024,95136,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,150,0,0,001,1500,2,1,1,1, 
2024,95137,01,01,1,2,1,2,1,1,1,0,0,1,0,0,0,3,1,0,0,003,3,2,1,1,1, 
2024,95137,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,2,1,0,060,700,2,1,1,1, 
2024,95138,01,01,1,2,1,2,8,1,1,1,0,0,0,0,0,1,8,4,0,400,285,2,2,,4, 
2024,95139,01,01,1,2,1,2,2,1,1,1,0,0,0,0,0,1,6,0,0,360,87,2,1,2,4, 
2024,95139,01,01,1,2,1,2,2,1,1,0,0,0,1,0,0,3,4,0,0,008,20,2,2,,4, 
2024,95139,01,01,1,2,1,2,2,1,1,0,0,1,0,0,0,4,1,0,0,012,260,2,1,2,4, 
2024,95140,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,4,0,0,020,30,2,2,,5, 
2024,95140,01,01,1,2,1,2,1,1,1,0,0,1,0,0,0,3,1,0,0,010,13,2,2,,5, 
2024,95142,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,2,0,0,035,500,1,2,,4, 
2024,95144,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,1,0,0,014,800,2,2,,1, 
2024,95145,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,1,1,0,200,800,2,2,,4, 
2024,95146,01,01,1,2,1,2,4,1,1,0,0,0,1,0,0,4,2,2,0,040,2500,2,1,1,4, 
2024,95149,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,2,0,0,350,1000,2,1,1,2, 
2024,95150,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,2,2,0,031,800,2,1,1,1, 
2024,95151,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,2,0,0,013,305,2,1,1,1, 
2024,95153,01,01,1,2,1,2,1,1,1,0,0,1,0,0,0,3,2,0,0,050,40,2,1,1,2, 
2024,95154,01,01,1,2,1,2,8,1,1,0,0,0,1,0,0,4,72,3,0,200,4195,2,1,1,1, 
2024,95155,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,2,2,0,040,35,2,1,1,4, 
2024,95156,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,1,2,0,050,20,2,2,,5, 
2024,95157,01,01,1,2,1,2,2,1,1,0,0,0,0,1,0,10,2,0,0,010,1000,2,1,2,1, 
