"model","term","estimate","std_error","z_value","p_value","component"
"main_area","(Intercept)",8.74451234075795,0.0217257254648336,402.49575807778,0,"frontier"
"main_area","log_land",0.730245513053387,0.00493452300865039,147.987051995348,0,"frontier"
"main_area","log_labor",0.239154857375664,0.00579598847968741,41.2621347012343,0,"frontier"
"main_area","log_inputs",0.111328286991462,0.0024443393239324,45.5453487580272,0,"frontier"
"main_area","region_natural2",-1.00536590787391,0.014860937810447,-67.6515789714938,0,"frontier"
"main_area","region_natural3",-0.158358924972233,0.0200692524853462,-7.89062398252554,3.10862446895044e-15,"frontier"
"main_area","Z_(Intercept)",-299.503556506806,35.9956241674017,-8.320554607247,0,"inefficiency"
"main_area","Z_diversificacion_area_std",-2.04715521486257,0.219613454041745,-9.32162933184157,0,"inefficiency"
"main_area","Z_size_mediano",45.0804254702309,5.04252166474342,8.94005588224374,0,"inefficiency"
"main_area","Z_size_grande",131.953871254236,15.5943064901334,8.4616697342536,0,"inefficiency"
"main_area","Z_diversif_mediano_std",32.8060581615267,4.23571815006661,7.74509941390006,9.54791801177635e-15,"inefficiency"
"main_area","Z_diversif_grande_std",-17.30022917499,2.02677208311272,-8.53585330049559,0,"inefficiency"
"main_area","sigmaSq",231.16166767463,27.9775747938884,8.26239119643517,2.22044604925031e-16,"variance"
"main_area","gamma",0.997648806231611,0.000310818520558141,3209.74697530932,0,"variance"
