"model","term","estimate","std_error","z_value","p_value","component"
"controls_ena","(Intercept)",8.67925792096948,0.0238083604132724,364.546645393148,0,"frontier"
"controls_ena","log_land",0.761443728355546,0.0049691463195022,153.234314185344,0,"frontier"
"controls_ena","log_labor",0.227807496300407,0.00563143533165476,40.4528300307175,0,"frontier"
"controls_ena","log_inputs",0.105562416046127,0.00246723947223819,42.7856384570422,0,"frontier"
"controls_ena","region_natural2",-0.714005167854394,0.0167073475679654,-42.7359977369134,0,"frontier"
"controls_ena","region_natural3",0.00172956594941603,0.02268169613685,0.0762538188934676,0.939217166001733,"frontier"
"controls_ena","log_seed",-0.0468915442484861,0.00218802300042815,-21.4310106609073,0,"frontier"
"controls_ena","log_irrigation_cost",0.0478986918757418,0.00258704983086926,18.514792913613,0,"frontier"
"controls_ena","log_capital",0.0128473495440235,0.00212871668972792,6.03525570406723,1.58711177533633e-09,"frontier"
"controls_ena","riego_tecnificado_any",0.046920931652314,0.0146792526893459,3.19641146898227,0.00139148520877197,"frontier"
"controls_ena","Z_(Intercept)",-567.832537895908,74.6332035769076,-7.60830984979455,2.77555756156289e-14,"inefficiency"
"controls_ena","Z_diversificacion_area_std",-3.28151564833189,0.334341378661524,-9.81486545718287,0,"inefficiency"
"controls_ena","Z_size_mediano",102.222140692401,13.5821553615485,7.52620905675953,5.21804821573824e-14,"inefficiency"
"controls_ena","Z_size_grande",280.460333036725,35.4816406262744,7.90437894320596,2.66453525910038e-15,"inefficiency"
"controls_ena","Z_diversif_mediano_std",66.7996706954932,8.5066333205697,7.85265664783816,3.99680288865056e-15,"inefficiency"
"controls_ena","Z_diversif_grande_std",-24.2769451717566,2.93612709505072,-8.2683563707712,2.22044604925031e-16,"inefficiency"
"controls_ena","Z_nivel_educacion",-2.52585307499682,0.283663289815538,-8.90440591251462,0,"inefficiency"
"controls_ena","Z_credito_obtenido",-75.5380083528548,9.01589170919732,-8.37831806207219,0,"inefficiency"
"controls_ena","Z_capacitacion_recibida",-6.84464116163197,0.383170429841826,-17.8631768752549,0,"inefficiency"
"controls_ena","Z_asistencia_tecnica_recibida",-135.644384905356,17.6341795181962,-7.69212907044463,1.4432899320127e-14,"inefficiency"
"controls_ena","Z_usuario_agua",-91.6461115075202,12.1215104828543,-7.56061809599983,4.01900734914307e-14,"inefficiency"
"controls_ena","Z_asociacion_miembro",38.594551722137,6.08922927432344,6.33816694747878,2.32514896225666e-10,"inefficiency"
"controls_ena","sigmaSq",485.147632953689,63.6827918004515,7.61819039708383,2.57571741713036e-14,"variance"
"controls_ena","gamma",0.99899637714371,0.000141956362664896,7037.34836811757,0,"variance"
