"anio","ccdd","ccpp","ccdi","psu","id_prod","ua","te"
2024,25,3,4,10026,2,2,0.753698444716353
2024,25,3,4,10026,3,3,0.763800521861325
2024,25,3,4,10026,6,6,0.776485226580552
2024,25,3,4,10026,7,7,0.787388097040248
2024,25,3,4,10026,8,8,0.78228833632395
2024,25,3,4,10027,1,1,0.549424235186548
2024,25,3,4,10027,3,3,0.598027985963484
2024,25,3,4,10027,5,5,0.586785336061114
2024,25,3,4,10027,6,6,0.574820677718532
2024,25,3,4,10028,1,1,0.413276423149777
2024,25,3,4,10028,2,2,0.737682989134497
2024,25,3,4,10028,3,3,0.750409401631826
2024,25,3,4,10028,6,6,0.770711991020996
2024,25,3,4,10028,7,7,0.700389440189681
2024,25,3,4,10028,9,9,0.725357957830394
2024,25,3,4,10028,10,10,0.654016218093888
2024,25,3,4,10028,11,11,0.679496242914567
2024,25,3,4,10028,12,12,0.374018731923791
2024,25,3,4,10028,14,14,0.701199155934171
2024,25,3,4,10028,25,25,0.649063581102807
2024,25,3,4,10028,27,27,0.699050072856637
2024,25,3,3,10029,1,1,0.71683662773679
2024,25,3,3,10029,2,2,0.712441003864839
2024,25,3,3,10029,3,3,0.725819960001566
2024,25,3,3,10029,6,6,0.592326811922551
2024,25,3,3,10030,1,1,0.575806981085545
2024,25,3,3,10030,2,2,0.644422903174997
2024,25,3,3,10030,3,3,0.595812140996144
2024,25,3,3,10031,1,1,0.514820832668681
2024,25,3,3,10031,2,2,0.78752898380927
2024,25,3,3,10031,3,3,0.544015652378681
2024,25,3,3,10031,4,4,0.58029985608532
2024,25,3,3,10031,5,5,0.596802331024253
2024,25,3,3,10032,3,3,0.721765024229999
2024,25,3,3,10032,4,4,0.714508743218794
2024,25,3,3,10032,8,8,0.661364468740048
2024,25,3,3,10033,1,1,0.698118326143323
2024,25,3,3,10033,2,2,0.554751419156913
2024,25,3,3,10033,3,3,0.484015620574428
2024,25,3,3,10033,4,4,0.545919711923113
2024,25,3,3,10033,5,5,0.523976338639486
2024,25,3,3,10033,6,6,0.535465484170045
2024,25,3,3,10033,7,7,0.55031519077607
2024,25,3,3,10033,8,8,0.502894597307264
2024,25,3,3,10033,9,9,0.508878014826426
2024,25,3,3,10033,10,10,0.578778501078238
2024,25,3,3,10033,11,11,0.536482466828612
2024,25,3,3,10033,12,12,0.563659611727713
2024,25,3,3,10033,13,13,0.564795273823959
2024,25,3,3,10033,16,16,0.534400357846865
2024,25,3,3,10033,17,17,0.485210450930014
2024,25,3,3,10034,1,1,0.511389376852339
2024,25,3,3,10034,2,2,0.782277457135373
2024,25,3,3,10034,3,3,0.486211545229645
2024,25,3,3,10034,4,4,0.505529749997214
2024,25,3,3,10034,5,5,0.546666843373971
2024,25,3,3,10035,1,1,0.735408290248347
2024,25,3,3,10035,2,2,0.58312818833801
2024,25,3,3,10035,4,4,0.554824618461138
2024,25,3,3,10035,5,5,0.570982600326174
2024,25,3,3,10035,6,6,0.522052510943855
2024,25,3,3,10035,7,7,0.50924365657202
2024,25,3,3,10035,8,8,0.713869373509906
