anio,ccdd,ccpp,ccdi,psu,id_prod,ua,region_natural,estrato,weight,departamento,provincia,distrito,latitud,longitud,hhi_area,diversificacion_area,shannon_area,num_crops_area,area_total_ha,hhi_valor,diversificacion_valor,shannon_valor,num_crops_valor,valor_total,jornaleros_perm_h,jornaleros_perm_m,jornaleros_event_h,jornaleros_event_m,gasto_agricola_total,costo_total_agropecuario,gasto_abono,gasto_fertilizantes,gasto_plaguicidas,practice_any,num_practices,labor_total,input_costs,size_cat
2024,25.0,3.0,5.0,10004,3,3,3,250391005.0,1.18991,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.81890436598,-75.0405643919,0.7024793388429753,0.2975206611570247,0.47413931305783735,2.0,5.5,0.5286061539693734,0.4713938460306266,0.6642618151605532,2.0,32334.0,,,5.0,,3750.0,4710.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,grande_>5ha
2024,25.0,3.0,5.0,10004,6,6,3,250391005.0,2.99838,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.81890436598,-75.0405643919,1.0,0.0,-0.0,1.0,20.25,,,,,,1.0,,5.0,,19100.0,23490.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,grande_>5ha
2024,25.0,3.0,5.0,10004,7,7,3,250391005.0,8.017953,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.81890436598,-75.0405643919,0.5697983335345973,0.4302016664654027,0.6216268001023063,2.0,0.182,0.9960159521276806,0.0039840478723194295,0.01440241004475333,2.0,2004.0,,,,,60.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pequeno_<2ha
2024,25.0,3.0,5.0,10005,1,1,3,250391003.0,0.96399,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.87046370443,-74.9850916917,0.836620644312952,0.16337935568704798,0.3019441816470201,2.0,78.0,1.0,0.0,-0.0,1.0,16800.0,,,3.0,,1800.0,32910.0,0.0,0.0,500.0,1.0,1.0,3.0,500.0,grande_>5ha
2024,25.0,3.0,5.0,10005,2,2,3,250391003.0,0.1062822,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.87046370443,-74.9850916917,1.0,0.0,-0.0,1.0,4.0,1.0,0.0,-0.0,1.0,14400.0,,,3.0,,2470.0,2700.0,0.0,0.0,200.0,1.0,1.0,3.0,200.0,mediano_2_5ha
2024,25.0,3.0,5.0,10006,3,3,3,250391005.0,10.56679,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.84784890732,-75.0405675558,1.0,0.0,-0.0,1.0,30.0,,,,,,,,3.0,,2500.0,13930.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,grande_>5ha
2024,25.0,3.0,5.0,10006,4,4,3,250391005.0,4.254574,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.84784890732,-75.0405675558,1.0,0.0,-0.0,1.0,20.0,,,,,,,,3.0,,2000.0,8630.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,grande_>5ha
2024,25.0,3.0,5.0,10006,5,5,3,250391005.0,4.214172,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.84784890732,-75.0405675558,0.8864915994775009,0.11350840052249911,0.22807408875533447,2.0,74.5,1.0,0.0,-0.0,1.0,86180.0,1.0,,3.0,,20400.0,94490.0,0.0,3000.0,0.0,1.0,1.0,4.0,3000.0,grande_>5ha
2024,25.0,3.0,5.0,10007,1,1,3,250391004.0,0.094992,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.86051432271,-75.002371769,0.265495867768595,0.734504132231405,1.3557763079306744,2.0,22.0,0.5002082465639317,0.4997917534360683,0.6929389195380611,1.0,156800.0,,,4.0,2.0,6480.0,15730.0,0.0,9000.0,0.0,1.0,1.0,6.0,9000.0,grande_>5ha
2024,25.0,3.0,5.0,10007,3,3,3,250391004.0,5.964668,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.86051432271,-75.002371769,0.5371900826446281,0.4628099173553719,0.6554817739013927,1.0,5.5,0.528344671201814,0.47165532879818595,0.6645284386549151,1.0,58800.0,,,4.0,2.0,5850.0,6200.0,0.0,800.0,0.0,1.0,1.0,6.0,800.0,grande_>5ha
2024,25.0,3.0,5.0,10007,4,4,3,250391004.0,2.877765,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.86051432271,-75.002371769,0.26570643862551113,0.7342935613744889,1.5260951789290873,2.0,35.8,0.37512398333663954,0.6248760166633605,1.037427674775759,1.0,227200.0,,,22.0,,32560.0,41840.0,0.0,12500.0,8000.0,1.0,2.0,22.0,20500.0,grande_>5ha
2024,25.0,3.0,5.0,10007,5,5,3,250391004.0,0.8111839,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.86051432271,-75.002371769,0.4156318480642805,0.5843681519357196,0.9837277542910012,2.0,18.5,0.5022222222222222,0.49777777777777776,0.6909233093138181,1.0,108000.0,,,6.0,,12230.0,19230.0,0.0,1800.0,0.0,1.0,1.0,6.0,1800.0,grande_>5ha
2024,25.0,3.0,5.0,10008,1,1,3,250393005.0,112.0423,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.84784462452,-75.0696691578,0.4942602040816326,0.5057397959183674,0.8752653533458146,2.0,5.6000000000000005,0.46402794576757556,0.5359720542324244,0.9016220486396165,2.0,50850.0,,,3.0,,5450.0,5450.0,0.0,1580.0,0.0,1.0,1.0,3.0,1580.0,grande_>5ha
2024,25.0,3.0,5.0,10008,2,2,3,250393005.0,55.80513,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.84784462452,-75.0696691578,0.5045667186455781,0.4954332813544219,0.8137757852061517,2.0,33.5,1.0,0.0,-0.0,1.0,25088.0,,,2.0,,2830.0,11510.0,0.0,2550.0,0.0,1.0,1.0,2.0,2550.0,grande_>5ha
2024,25.0,3.0,5.0,10008,5,5,3,250393005.0,21.36,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.84784462452,-75.0696691578,1.0,0.0,-0.0,1.0,10.0,1.0,0.0,-0.0,1.0,136640.0,,,15.0,6.0,7635.0,8135.0,0.0,3300.0,360.0,1.0,2.0,21.0,3660.0,grande_>5ha
2024,25.0,3.0,5.0,10009,1,1,3,250393003.0,8.829394,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.89034292579,-75.1233393689,0.5333825052925543,0.46661749470744573,0.6593829207996997,2.0,11.92,0.8024691358024691,0.19753086419753085,0.34883209584303193,2.0,29700.0,1.0,,4.0,,12900.0,13100.0,0.0,0.0,600.0,1.0,1.0,5.0,600.0,grande_>5ha
2024,25.0,3.0,5.0,10009,2,2,3,250393003.0,0.7341211,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.89034292579,-75.1233393689,1.0,0.0,-0.0,1.0,3.482,1.0,0.0,-0.0,1.0,17500.0,,,4.0,2.0,4810.0,5010.0,0.0,0.0,250.0,1.0,1.0,6.0,250.0,mediano_2_5ha
2024,25.0,3.0,5.0,10010,1,1,3,250393002.0,1.305981,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.86910720037,-75.0046455183,1.0,0.0,-0.0,1.0,8.5,1.0,0.0,-0.0,1.0,6630.0,,,1.0,,200.0,385.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,grande_>5ha
2024,25.0,3.0,5.0,10011,1,1,3,250391005.0,3.896025,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.84061406852,-75.0260162424,1.0,0.0,-0.0,1.0,5.152,,,,,,,,,,250.0,7300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,grande_>5ha
2024,25.0,3.0,5.0,10011,2,2,3,250391005.0,2.128094,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.84061406852,-75.0260162424,0.7635124687618005,0.23648753123819954,0.39951237447725885,2.0,21.895,1.0,0.0,-0.0,1.0,19520.0,,,2.0,,1450.0,9990.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,grande_>5ha
