"model","term","estimate","std_error","z_value","p_value","component"
"controls_ena","(Intercept)",8.67787648746571,0.0238558269969889,363.763389488071,0,"frontier"
"controls_ena","log_land",0.760045918771708,0.00538821118735265,141.057188061913,0,"frontier"
"controls_ena","log_labor",0.227968689975574,0.00582296939047483,39.1499035437973,0,"frontier"
"controls_ena","log_inputs",0.105681785864415,0.00242849177802599,43.5174567279443,0,"frontier"
"controls_ena","region_natural2",-0.715163532077016,0.0169354413164606,-42.2288099089513,0,"frontier"
"controls_ena","region_natural3",0.00297901019617633,0.0230237196489783,0.129388745241628,0.897050052817387,"frontier"
"controls_ena","log_seed",-0.046970058376448,0.00218070822195864,-21.5389009421265,0,"frontier"
"controls_ena","log_irrigation_cost",0.0484715519548072,0.00257859594166558,18.7976530838322,0,"frontier"
"controls_ena","log_capital",0.0131548102640683,0.00229339823518531,5.73594679818238,9.69690994168104e-09,"frontier"
"controls_ena","riego_tecnificado_any",0.0470509097686036,0.014663735548122,3.20865782216247,0.00133356097273873,"frontier"
"controls_ena","Z_(Intercept)",-381.052739434811,47.9144022428807,-7.95278082575744,1.77635683940025e-15,"inefficiency"
"controls_ena","Z_diversificacion_area",-14.8603345225047,1.39404490755473,-10.6598678722417,0,"inefficiency"
"controls_ena","Z_size_mediano",-18.4589531184749,3.32119152719341,-5.55793093151533,2.72991362848529e-08,"inefficiency"
"controls_ena","Z_size_grande",223.789532441646,26.3932677709796,8.47903845721263,0,"inefficiency"
"controls_ena","Z_diversif_mediano",166.964890325601,22.2132134563285,7.51646719885245,5.61772850460329e-14,"inefficiency"
"controls_ena","Z_diversif_grande",-61.3101178102593,6.0533770344328,-10.1282503074755,0,"inefficiency"
"controls_ena","Z_nivel_educacion",-2.11934862608613,0.15475195888711,-13.6951327875092,0,"inefficiency"
"controls_ena","Z_credito_obtenido",-49.4122541110215,6.2344584148098,-7.92566905148392,2.22044604925031e-15,"inefficiency"
"controls_ena","Z_capacitacion_recibida",-3.89003760092972,0.11601452277746,-33.5306089944585,0,"inefficiency"
"controls_ena","Z_asistencia_tecnica_recibida",-89.3467715442555,11.5091301050061,-7.76312116807093,8.21565038222616e-15,"inefficiency"
"controls_ena","Z_usuario_agua",-60.4597257507189,7.35360967384928,-8.22177521411346,2.22044604925031e-16,"inefficiency"
"controls_ena","Z_asociacion_miembro",27.7674292077116,3.89815074129773,7.12323125771877,1.05426778418405e-12,"inefficiency"
"controls_ena","sigmaSq",333.577435145444,41.4893174597008,8.04008008734908,8.88178419700125e-16,"variance"
"controls_ena","gamma",0.998541655280906,0.000197273886745381,5061.70214291825,0,"variance"
