"model","term","estimate","std_error","p_value"
"main_area","Z_diversificacion_area",-14.9304684948489,1.82061667484801,2.22044604925031e-16
"main_area","Z_diversif_mediano",174.792973320382,23.9792556468119,3.11528580709819e-13
"main_area","Z_diversif_grande",-69.9012745457344,10.2342328146334,8.4829920865559e-12
"xgeo_prcp","Z_diversificacion_area",-10.3262688307964,1.23280433495385,0
"xgeo_prcp","Z_diversif_mediano",155.635811830301,10.5165913819804,0
"xgeo_prcp","Z_diversif_grande",-58.8585699614456,9.97339204925024,3.60080787409345e-09
"zgeo_prcp","Z_diversificacion_area",-0.17454426345318,0.420711986997348,0.678231014365233
"zgeo_prcp","Z_diversif_mediano",69.0371898560369,12.2807604112227,1.8922662103904e-08
"zgeo_prcp","Z_diversif_grande",-23.3731273983083,3.70760841326901,2.89876789238974e-10
